ジャンルid,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解の選択肢,解説文,ソースURL
1,社会人１年目の社会人にかからない税金は以下のうちどれ,住民税,所得税,健康保険料,厚生年金保険料,1,住民税は前年の所得をもとにして納める税金のため、前年の所得のない社会人１年目の場合は通常かかりません。ただし、就職前に課税所得がある場合や、合計所得が45万ある場合は税金がかかることがあります。,
2,サプライヤーへ送るメールの件名に最も適切なものを選んでください。,お願い申し上げます,次回の取引について,緊急の対応について,来週の打ち合わせについて,2,ビジネス文書としてのメールは、「件名」が簡潔で分かりやすいことが大切です。日本において、ビジネスメールの受信数は、1日平均34.30通と非常に多く、その中で1つ1つのメールの内容を全て読み込むことは非常に難しい状況です。相手がメールを開かなくても分かるよう、件名は本文の内容を簡潔に分かりやすく書きましょう。,
3,あなたは顧客サポート担当者です。電話で受けた問い合わせに対して、次のうちどれが最も適切な対応でしょうか？,問題解決のために、顧客に数日後に再度連絡する。,顧客の問題を理解し、即座に解決するための手順を提供する。,顧客に他社への移行を提案し、問題解決を放棄する。,問題を無視し、顧客を別の部署に転送する。,2,顧客の問題を理解し、即座に解決するための手順を提供する。,
4,「16時に行く」を謙譲語に変えると4つの内どれ？,16時に伺います。,16時に行きます。,16時に到着いたします。,16時にいらっしゃる。,1,「行きます」は丁寧語、「到着いたします」は到着するかなので行くではない、「いらっしゃる」は尊敬語になるので答えは1になる,
4,「17時に社長がいる」を丁寧語,17時に社長がいらっしゃる,17時に社長がおいでになる,17時に社長がおります,17時に社長がおられます,3,「いらっしゃる」は尊敬語、「おいでになる」は尊敬語、「おられます」謙譲語なので答えは3になる。,https://x.gd/vbLnM
4,「この資料を読む」を謙譲語に変えると4つの内どれ？,この資料をお読みになる,この資料を読みます,この資料を拝読する,この資料を読まれています。,3,「お読みになる」は尊敬語、「読みます」は丁寧語「読まれています」は尊敬語、なので答えは3になる。,
4,「この資料を考える」を尊敬語に変えると4つの内どれ？,この資料をお考えになる,この資料を拝察する,この資料を検討いたします,この資料を考えます,1,「拝察する」は謙譲語、「検討いたします」は謙譲語「考えます」は丁寧語、なので答えは1になる,
4,「会社」を尊敬語に変えると4つの内どれ？,貴社,お会社,株式会社,合同会社,1,「お会社」はそもそも存在しない単語、「株式会社」は別称、「合同会社」は、日本における会社形態の1つ,
4,「こちらを食べてください」を尊敬語に変えると4つの内どれ？,こちらを頂いてください。,こちらを頂戴してください。,こちらを食べてください。,こちらを召し上がってください。,4,「こちらを頂いてください。」は謙譲語、「こちらを頂戴してください。」は謙譲語、「こちらを食べてください。」は丁寧語、なので答えは4になる。,
4,「こちらに座ってください」はこの中からだと何語でしょうか？,謙譲語,尊敬語,丁寧語,私語,3,「謙譲語」は「謙」にはへりくだる、「譲」には相手に譲るという意味例「こちらにお掛けになってください。」「尊敬語」尊敬語の「尊」は身分が高い、「敬」は相手をうやまうという意味「私語」黙っているべき情況の中で（それにもかかわらず、小声やささやき声で）話をすること。例：「こちらにお掛けください。」,
4,部長への返答で間違っている敬語の使い方が一つあります。どれでしょうか？,部長、了解しました。,部長、かしこまりました。,部長、承知しました。,部長、わかりました。,1,かしこまりました、承知しました、わかりました。は正しい敬語となります。,https://x.gd/2HwGA
4,課長に対する敬語の使い方として正しいものはどれでしょうか？,課長、本日はご苦労さまでした。,課長、本日はお疲れさま。,課長、本日はお疲れさまです。,課長、本日はご苦労さまです。,3,"1,4は「ご苦労さま」は目上の人が目下の人に対して使う言葉として一般的に考えられているため不適切です。2は「お疲れさま」は体言止めのめ、ぶっきら棒な言い方になり適切ではありません。 
",https://x.gd/2HwGA
4,4つの内間違ている敬語はどれ？,お名前を伺ってもよろしいですか,○○様でございますね,おっしゃる通りだと思います,かしこまりました,2,"問1,3,4は正しい敬語であり、間違っている答えは問2だけになります。",https://x.gd/q412J
3,取引先からの電話に対する受け答えとして適切なのはどれでしょうか？,○○は、本日休みです。,○○は、本日お休みをいただいております。,○○は、本日休みをとっております。,○○は、本日休みをしています。,3,○○に休みを取らせているのは会社なので、電話口で聞かれたときに自社に敬意を示す必要はありません。したがって、「休みをいただく」は不切です。またＡ「休みです」はぶっきらぼうな言い方のため、不適切な言い方になります。,https://x.gd/NXAyP
3,あなたの会社の求人ページを見て、電話をしてきた人と話しています。面接の日時を設定し、当日の持ち物の指示をしました。「当日は、筆記用具を（　　　）ください」（　　　）に入る敬語表現として4つの内どれでしょうか？,ご持参,ご持参して,持ってきて,持参,2,ご持参だけだと正しい日本語ではなく、持ってきてと持参だと正しい敬語ではなくなるため答えは2,https://x.gd/cUaVe
3,あなたは顧客サポート担当者です。電話で受けた問い合わせに対して、次のうちどれが最も適切な対応でしょうか？,問題解決のために、顧客に数日後に再度連絡する。,顧客の問題を理解し、即座に解決するための手順を提供する。,顧客に他社への移行を提案し、問題解決を放棄する。,問題を無視し、顧客を別の部署に転送する。,2,顧客の問題を理解し、できる限り即座に解決策や手順を提供することは、効果的な顧客サービスの提供方法です。,https://x.gd/SzyIS 
3,仕事での電話で、クレームを受けました。顧客は商品の不具合を訴えています。次の選択肢のうち、最も適切な対応はどれでしょうか？,すぐに返品手続きを開始し、商品を交換する。,顧客に問題を自己解決するように指示し、サポートを拒否する。,顧客の不快な気持ちを和らげるために謝罪し、問題解決のために詳細を聞く。,他の顧客と同様の問題がないかを確認し、同じ不具合が他にもあるか調査する。,3,顧客の不快な気持ちを和らげるために謝罪し、問題解決のために詳細を聞くことが重要です。顧客の不満や問題を真剣に受け止め、解決に向けてサポートする姿勢を示すことが重要です。,https://x.gd/YjRGa 
3,"あなたは営業担当者です。新規顧客からの電話で、競合他社のサービスと比較した際の弊社のメリットについて尋ねられました。最も適切な対応は次のうちどれでしょうか？
",弊社のサービスのメリットを具体的な例やデータを用いて説明する。,弊社のサービスは競合よりも優れている点を説明する。,競合他社の短所を強調して、弊社の利点を強調する。,顧客に競合他社の詳細情報を提供する。,1,顧客からの問いに対し、弊社のサービスのメリットを具体的な例やデータを用いて説明することが重要です。抽象的な主張よりも、具体的な事例やデータを提示することで、顧客により詳細で信憑性のある情報を提供することができます。,https://x.gd/X41XN 
3,あなたはカスタマーサポート担当者です。顧客からの電話で、商品の返品に関する要求がありました。適切な対応として最も適しているのは次のうちどれでしょうか？,返品ポリシーに基づいて返品を受け付ける。,顧客に返品手続きの詳細を説明し、返品の可能性を示す。,返品を拒否し、返品ポリシーに関する規定を説明する。,返品の代わりに、商品の修理や交換を提案する。,2,顧客の返品に対して具体的な手続きや詳細を説明し、返品の可能性について示すことが重要です。顧客が返品を希望する理由や状況を理解し、適切な手順を案内することで、円滑な返品プロセスをサポートできます。,https://x.gd/Exenl
3,あなたはカスタマーサポート担当者です。顧客からの電話で、商品の配送に遅れが生じたことを報告されました。適切な対応として最も適しているのは次のうちどれでしょうか？,速やかに謝罪し、遅延の原因を調査して詳細を提供する。,顧客に責任を押し付け、遅延の原因が彼らにあると伝える。,遅延についてはっきりとした説明を避け、別の話題に逸らす。,遅延の代わりに、顧客に製品の無料提供を提案する。,1,顧客からの報告に対し速やかに謝罪し、遅延の原因を調査して詳細を提供することが重要です。,https://x.gd/GtDb9
3,"あなたはカスタマーサポート担当者です。電話で顧客からの苦情がありました。商品が破損して届いたとの報告です。
",顧客に新しい商品を即座に発送する。,破損の補償として割引クーポンを提供する。,破損した商品に関する責任を顧客に押し付ける。,破損の写真を要求し、事態を調査するために詳細を求める。,4,破損した商品に関する詳細や証拠として写真を要求し、事態を調査することが重要です。顧客の報告を真摯に受け止め、問題の原因を明らかにすることで、適切な解決策を見つけることができます。,https://x.gd/0skzL 
3,あなたは顧客サポート担当者です。顧客からの電話で、購入した商品が不良品であると報告されました。,顧客に直ちに返品手続きを開始するよう指示する。,顧客の主張を無視し、商品の不良性を否定する。,謝罪し、詳細を確認するために顧客に追加情報を求める。,"顧客に商品を修理するための手順を提供する。
",3,顧客の主張に謝罪し、不良品に関する詳細を確認するために顧客から追加情報を求めることが重要です,https://x.gd/jZqei 
3,あなたは顧客サポート担当者です。顧客からの電話で、直近の注文に含まれていない商品が届いたと報告されました。,顧客に商品の不足を否定し、注文内容を確認するよう伝える。,謝罪し、顧客の報告を確認し、不足している商品についての詳細を求める。,顧客の報告を無視し、他の商品の特典を提供する。,顧客に代替商品を提供する。,2,顧客の報告に対して謝罪し、報告内容を確認し、不足している商品に関する詳細を求めることが重要です。,https://x.gd/598OZ
3,あなたは顧客サポート担当者です。電話で、顧客が最近購入した商品がサイズが合わず返品したいと要求してきましたが、返品ポリシーでは期限を過ぎている場合には返品ができません。次のうち、最も適切な対応はどれでしょうか？,顧客の要求を拒否し、ポリシーに基づいて返品を受け付けられないことを説明する。,顧客に別の同等品の交換を提案する。,返品期限を延長し、顧客の要求を受け入れる。,顧客に返品手続きを進めるよう指示するが、後で返品を拒否する。,1,顧客の要求を拒否し、ポリシーに基づいて返品を受け付けられないことを説明することが重要です。ポリシーに基づいて公平かつ一貫した対応を行うことが、顧客との信頼を保つ上で重要です。,https://x.gd/C8Zi3
2,ビジネスメールで「TO」を使用した際の適切な送り方はどれでしょうか？,TO: [受信者のメールアドレス],TO: [受信者の名前],TO: [送信者のメールアドレス],TO: [送信者の名前],1,「TO」とは、宛先の意味があります。メインでメールを送りたい相手のアドレスを入力します。「記載している内容の作業をして欲しい」などの用件を伝えたい、送ったメールに返信がほしい、などのメール内容を、「あなた宛のメールです」と伝える役割があります。,https://x.gd/4nFB
2,次の中で、ビジネスのメールで上司に対する丁寧なお断りの表現として適切なものはどれでしょうか？,了解しましたが、それは難しい課題です。,かしこまりましたが、私はそのプロジェクトに参加することができません。,承知いたしましたが、私のスケジュール上、先約があり難しい状況です。,分かりましたが、それには参加できません。,3,(了解しましたが、それは難しい課題です)了解の表現は良いですが、少し否定的なニュアンスが含まれています。(かしこまりましたが、私はそのプロジェクトに参加することができません)かしこまりましたは丁寧ですが、(参加することができませんという表現がやや直接的です(承知いたしましたが、私のスケジュール上、難しい状況です) 承知いたしましたは謙譲語で、理由も丁寧に説明しています。(分かりましたが、それには参加できません)分かりましたも適切ですが、理由を追加することでより丁寧になります。,https://x.gd/eYTyX
2,文章を作成するとき、見出しにも気を配る必要があります。次のうち、見出し作成のポイントに当てはまらないものを選んでください,本文の内容を明確に示す,階層は2階層までにする,内容の粒度を揃える,独立して意味が通る文章にする,4,解説:見出しは独立した意味を持つべきですが、それが文章全体の完全な意味を伝える必要はありません。見出しは本文の要約や焦点を示すものであり、本文の内容を明確に示し、適切な階層構造を保ちつつ、読者が本文を理解しやすくすることが重要です。,https://blog.qbist.co.jp/?p=4596
2,「わかりやすく簡潔に文章を書くためのポイント」に当てはまらないものを選んでください。,1文1メッセージにする,1文の長さは100文字程度を目安にする,接続詞を多用しない,文章中で使用する用語は統一する,3,解説；接続詞は文章をつなげる役割を果たし、読み手が文の流れを理解しやすくします。ただし、過剰な接続詞の使用は文を複雑にし、理解を難しくすることもあります。そのため、必要な場面で適切に接続詞を使うことが重要です。,https://x.gd/cNjcQ
2,わかりやすく文章を書くには、接続詞の使い方が重要です。次の接続詞のうち、[順接]接続詞ではないものを選んでください。,したがって,また,それで,"そこで
",2,解説 :逆接や順接どちらも含む接続詞で、「さらに」「その上」という意味で使われますが、単独で順接を示すのではなく、文脈によって意味が変わります。,https://x.gd/5toqe
2,ビジネスメールでは、「頂く」という言葉を使う機会が少なくありません。「頂く」は、ひらがなの「いただく」と使い方に違いがあります。「頂く」の使い方で適切なものを選択してください。,お越し頂いてよろしいでしょうか,お客さまからお土産を頂いた,本日はお休みとさせて頂きます,詳細な状況をご説明頂いた,2,解説；「頂く」という言葉は、謙譲の意味を持ち、相手に対する敬意を示すために使われます。この言葉は、受身形で自分が何かを受け取る際に使用されます。例えば、「お客さまからお土産を頂いた」という文は、自分がお客さまから何かを受け取ったことを謙虚に表現しています。,https://x.gd/nnIF8
1,雇用保険料という税金はどのような目的で集められているのか。以下の選択肢から違うものはどれ。,労働者の新しい知識やスキルなどを習得するために、職業訓練や職業教育を実施して再就職の促進をはかる,労働者が失業した際の生活を守るために支給される失業給付や、育児休暇中の育児休業給付などを行う,被保険者・被扶養者が病気や怪我をはじめとする出産や高齢、介護、失業、労働災害などのリスクに対して、生活を保障する。,労働者が失業しないよう予防したり、雇用状態を是正して離職防止と雇用機会の増大をはかる,3,"1,2,4番は雇用保険の目的ですが、3番は社会保険の目的です。",https://x.gd/ggfU2
1,初任給で差し引かれるのは以下のうちどれ,健康保険料,雇用保険料,厚生年金保険料,住民税,2,解説：社会保険料のうち、「雇用保険料」は当月から差し引きされますが、「健康保険料」と「厚生年金保険料」は、通常前月の支払い分を翌月の給料から差し引かれます。住民税は住民税は前年の所得をもとにして納める税金のため、前年度の所得によって変わります。,https://x.gd/h7DJC
1,課税所得金額が330万以上の場合の所得税の税率は以下のうちどれ,5%,10%,20%,23%,3,"1,000円から194万9,000円までが5%、195万円から329万9,000円までが10%、330万円から694万9,000円までが20%、695万円から899万9,000円までが23%になります。 ",https://x.gd/5wJLi
1,所得税の計算方法は以下のうちどれでしょう,課税所得金額+税率×控除額,課税所得金額×税率＋控除額,課税所得金額×(税率＋控除額),課税所得金額×税率－控除額,4,解説：正解は４の課税所得金額×税率－控除額です。,https://x.gd/ym15J
1,税金を納期までに納めなかった場合どうなるのか以下のうちから初めに起こることを選んでください,何も起きない,督促状が届く,財産調査,財産の差し押さえ,2,払わなかった場合は、催促状が届く→財産調査→差し押さえの順番で行われます。,https://x.gd/Fgftv
1,以下のうち国税ではないものはどれでしょうか,所得税,法人税,贈与税,自動車税,4,所得税、法人税、贈与税は国税ですが、自動車税は地方税です。,https://x.gd/apF9d
1,独身世帯の時に税金が一番得な年収は以下のうちどれでしょう,690万前後,830万前後,520万前後,910万前後,1,所得税は650万円あたりから急激に上がり始め、780万円あたりから住民税よりも高くなります。基礎控除のみの給与所得でシミュレーションすると、年収700万円が損得の分岐点といえます。そのため、690万前後がコスパの良い年収になります。,https://x.gd/5u8Cg
1,税金の納付は最大どれだけ待ってもらえるでしょう,３ヵ月,半年,１年,１年半,3,納付を待ってもらえる期間は、原則として１年間が限度になっています。,https://x.gd/DMl42
1,以下のうち地方税はどれでしょう,贈与税,消費税,酒税,住民税,4,贈与税、消費税、酒税は国税で、住民税は地方税です。,https://x.gd/apF9d
2,メールで使用される「CC」の意味とはどれでしょうか？,Copy to（コピー先）,Courtesy Copy（丁寧なコピー）,Carbon Copy（カーボンコピー）,Current Copy（最新のコピー）,3,「CC」とは、カーボン・コピー（Carbon Copy）の略で、「複写」の意味があります。TOの宛先となる人の他に、内容を共有したい相手のアドレスを入力すると、同じ（複写）メールが送信されます。,https://x.gd/4nFBP
2,ビジネスメールの最初に書くものとして適切なものは何か？,挨拶文,要件,宛名,署名,3,メールの本文の最初には必ず宛名を書きます。いきなり用件から入ってはいけません。社外の人にメールをするときには「会社名」「部署名」「名前」という順番で書くのが基本。,
2,署名を作る際に気を付けるポイントとして不適切なものはどれでしょうか？,過剰な装飾は避ける,環境によって文字化けする可能性がある点に注意する,情報が変わったらすぐに変更する,自分の情報と相手の情報を詳細に書く,4,ビジネスメールの署名には必要最小限の情報を含め、他者とのコミュニケーションに必要な要素に絞ることが一般的です。,https://x.gd/gy23l